annee,prix,nom,genre,pays
1968,Literature,Yasunari Kawabata,Male,Japan
1968,Medicine,Marshall Warren Nirenberg,Male,United States of America
1968,Medicine,Robert W. Holley,Male,United States of America
1968,Medicine,Har Gobind Khorana,Male,"India, United States of America"
1968,Peace,René Cassin,Male,France
1968,Physics,Luis Walter Alvarez,Male,United States of America
1969,Chemestry,Derek Barton,Male,United Kingdom
1969,Chemestry,Odd Hassel,Male,Norway
1969,Economics,Ragnar Frisch,Male,Norway
1969,Economics,Jan Tinbergen,Male,Netherlands
1969,Literature,Samuel Beckett,Male,Ireland
1969,Medicine,Alfred Hershey,Male,United States of America
1969,Medicine,Max Delbrück,Male,"Germany, United States of America"
1969,Medicine,Salvador Luria,Male,"Italy, United States of America"
1969,Peace,International Labour Organization,,
1969,Physics,Murray Gell-Mann,Male,United States of America
1970,Chemestry,Luis Federico Leloir,Male,"Argentina, France"
1970,Economics,Paul Samuelson,Male,United States of America
1970,Literature,Aleksandr Solzhenitsyn,Male,Russia
1970,Medicine,Julius Axelrod,Male,United States of America
1970,Medicine,Ulf von Euler,Male,Sweden
1970,Medicine,Bernard Katz,Male,"Germany, United Kingdom"
1970,Peace,Norman Borlaug,Male,United States of America
1970,Physics,Louis Néel,Male,France
1970,Physics,Hannes Alfvén,Male,Sweden
1971,Chemestry,Gerhard Herzberg,Male,"Canada, Germany"
1971,Economics,Simon Kuznets,Male,"Belarus, United States of America"
1971,Literature,Pablo Neruda,Male,Chile
1971,Medicine,Earl Wilbur Sutherland Jr.,Male,United States of America
1971,Peace,Willy Brandt,Male,Germany
1971,Physics,Dennis Gabor,Male,United Kingdom
1972,Chemestry,Stanford Moore,Male,United States of America
1972,Chemestry,William Howard Stein,Male,United States of America
1972,Chemestry,Christian B. Anfinsen,Male,United States of America
1972,Economics,John Hicks,Male,United Kingdom
1972,Economics,Kenneth Arrow,Male,United States of America
1972,Literature,Heinrich Böll,Male,Germany
1972,Medicine,Gerald Edelman,Male,United States of America
1972,Medicine,Rodney Robert Porter,Male,United Kingdom
1972,Physics,John Robert Schrieffer,Male,United States of America
1972,Physics,Leon Cooper,Male,United States of America
1973,Chemestry,Ernst Otto Fischer,Male,Germany
1973,Chemestry,Geoffrey Wilkinson,Male,United Kingdom
1973,Economics,Wassily Leontief,Male,"Russia, United States of America"
1973,Literature,Patrick White,Male,"Australia, United Kingdom"
1973,Medicine,Konrad Lorenz,Male,Austria
1973,Medicine,Nikolaas Tinbergen,Male,Netherlands
1973,Medicine,Karl von Frisch,Male,Austria
1973,Peace,Henry Kissinger,Male,"Germany, United States of America"
1973,Peace,Le Duc Tho,Female,Vietnam
1973,Physics,Leo Esaki,Male,Japan
1973,Physics,Ivar Giaever,Male,"Norway, United States of America"
1973,Physics,Brian David Josephson,Male,United Kingdom
1974,Chemestry,Paul Flory,Male,United States of America
1974,Economics,Friedrich Hayek,Male,"Austria, United Kingdom"
1974,Economics,Gunnar Myrdal,Male,Sweden
1974,Literature,Harry Martinson,Male,Sweden
1974,Literature,Eyvind Johnson,Male,Sweden
1974,Medicine,Christian de Duve,Male,"Belgium, United Kingdom"
1974,Medicine,Albert Claude,Male,Belgium
1974,Medicine,George Emil Palade,Male,"Romania, United States of America"
1974,Peace,Seán MacBride,Male,"France, Ireland"
1974,Peace,Eisaku Satō,Male,Japan
1974,Physics,Martin Ryle,Male,United Kingdom
1974,Physics,Antony Hewish,Male,United Kingdom
1975,Chemestry,Vladimir Prelog,Male,"Bosnia and Herzegovina, Switzerland"
1975,Chemestry,John Cornforth,Male,United Kingdom
1975,Economics,Tjalling Koopmans,Male,Netherlands
1975,Economics,Leonid Kantorovich,Male,Russia
1975,Literature,Eugenio Montale,Male,Italy
1975,Medicine,Howard Martin Temin,Male,United States of America
1975,Medicine,David Baltimore,Male,United States of America
1975,Medicine,Renato Dulbecco,Male,"Italy, United States of America"
1975,Peace,Andrei Sakharov,Male,Russia
1975,Physics,James Rainwater,Male,United States of America
1975,Physics,Ben Roy Mottelson,Male,Denmark
1975,Physics,Aage Bohr,Male,Denmark
1976,Chemestry,William Lipscomb,Male,United States of America
1976,Economics,Milton Friedman,Male,United States of America
1976,Literature,Saul Bellow,Male,"Canada, United States of America"
1976,Medicine,Baruch Samuel Blumberg,Male,United States of America
1976,Medicine,Daniel Carleton Gajdusek,Male,United States of America
1976,Peace,Mairead Maguire,Female,Ireland
1976,Peace,Betty Williams,Female,"Ireland, United Kingdom"
1976,Physics,Burton Richter,Male,United States of America
1976,Physics,Samuel C. C. Ting,Male,United States of America
1977,Chemestry,Ilya Prigogine,Male,"Belgium, Russia"
1977,Economics,James Meade,Male,United Kingdom
1977,Economics,Bertil Ohlin,Male,Sweden
1977,Literature,Vicente Aleixandre,Male,Spain
1977,Medicine,Rosalyn Sussman Yalow,Female,United States of America
1977,Medicine,Roger Guillemin,Male,"France, United States of America"
1977,Medicine,Andrew Schally,Male,"Lithuania, Poland"
1977,Peace,Amnesty International,,United Kingdom
1977,Physics,Philip Warren Anderson,Male,United States of America
1977,Physics,John Hasbrouck Van Vleck,Male,United States of America
1977,Physics,Nevill Francis Mott,Male,United Kingdom
1978,Chemestry,Peter D. Mitchell,Male,United Kingdom
1978,Economics,Herbert A. Simon,Male,United States of America
1978,Literature,Isaac Bashevis Singer,Male,"Poland, United States of America"
1978,Medicine,Hamilton O. Smith,Male,United States of America
1978,Medicine,Daniel Nathans,Male,United States of America
1978,Medicine,Werner Arber,Male,Switzerland
